ticker,date,close
RMD,2021-08-10,$275.12
RMD,2021-08-09,$277.97
RMD,2021-08-06,$274.69
RMD,2021-08-05,$267.38
RMD,2021-08-04,$273.19
RMD,2021-08-03,$273.09
RMD,2021-08-02,$268.63
RMD,2021-07-30,$271.80
RMD,2021-07-29,$269.73
RMD,2021-07-28,$266.03
RMD,2021-07-27,$264.24
RMD,2021-07-26,$259.74
RMD,2021-07-23,$259.83
RMD,2021-07-22,$257.59
RMD,2021-07-21,$255.37
RMD,2021-07-20,$255.25
RMD,2021-07-19,$253.55
RMD,2021-07-16,$253.19
RMD,2021-07-15,$249.60
RMD,2021-07-14,$249.38
RMD,2021-07-13,$248.76
RMD,2021-07-12,$248.84
RMD,2021-07-09,$247.68
RMD,2021-07-08,$250.73
RMD,2021-07-07,$252.08
RMD,2021-07-06,$247.93
RMD,2021-07-02,$250.53
RMD,2021-07-01,$247.88
RMD,2021-06-30,$246.52
RMD,2021-06-29,$246.29
RMD,2021-06-28,$247.09
RMD,2021-06-25,$244.50
RMD,2021-06-24,$245.97
RMD,2021-06-23,$243.40
RMD,2021-06-22,$241.09
RMD,2021-06-21,$239.52
RMD,2021-06-18,$237.44
RMD,2021-06-17,$240.46
RMD,2021-06-16,$236.80
RMD,2021-06-15,$236.46
RMD,2021-06-14,$231.70
RMD,2021-06-11,$218.58
RMD,2021-06-10,$220.53
RMD,2021-06-09,$211.96
RMD,2021-06-08,$207.48
RMD,2021-06-07,$206.70
RMD,2021-06-04,$205.31
RMD,2021-06-03,$203.93
RMD,2021-06-02,$203.56
RMD,2021-06-01,$206.25
RMD,2021-05-28,$205.85
RMD,2021-05-27,$205.96
RMD,2021-05-26,$205.61
RMD,2021-05-25,$206.55
RMD,2021-05-24,$206.33
RMD,2021-05-21,$202.14
RMD,2021-05-20,$198.75
RMD,2021-05-19,$193.86
RMD,2021-05-18,$193.54
RMD,2021-05-17,$195.00
RMD,2021-05-14,$195.42
RMD,2021-05-13,$194.86
RMD,2021-05-12,$192.32
RMD,2021-05-11,$194.75
RMD,2021-05-10,$193.21
RMD,2021-05-07,$195.16
RMD,2021-05-06,$193.10
RMD,2021-05-05,$192.60
RMD,2021-05-04,$192.17
RMD,2021-05-03,$194.74
RMD,2021-04-30,$187.97
RMD,2021-04-29,$207.91
RMD,2021-04-28,$210.14
RMD,2021-04-27,$210.67
RMD,2021-04-26,$210.89
RMD,2021-04-23,$209.30
RMD,2021-04-22,$208.22
RMD,2021-04-21,$208.51
RMD,2021-04-20,$205.70
RMD,2021-04-19,$205.66
RMD,2021-04-16,$207.51
RMD,2021-04-15,$204.20
RMD,2021-04-14,$207.68
RMD,2021-04-13,$205.45
RMD,2021-04-12,$201.74
RMD,2021-04-09,$199.16
RMD,2021-04-08,$197.24
RMD,2021-04-07,$197.12
RMD,2021-04-06,$196.29
RMD,2021-04-05,$195.11
RMD,2021-04-01,$194.44
RMD,2021-03-31,$194.02
RMD,2021-03-30,$189.31
RMD,2021-03-29,$191.05
RMD,2021-03-26,$190.93
RMD,2021-03-25,$187.53
RMD,2021-03-24,$192.18
RMD,2021-03-23,$190.74
RMD,2021-03-22,$189.79
RMD,2021-03-19,$185.60
RMD,2021-03-18,$185.09
RMD,2021-03-17,$191.47
RMD,2021-03-16,$191.99
RMD,2021-03-15,$187.09
RMD,2021-03-12,$185.12
RMD,2021-03-11,$186.71
RMD,2021-03-10,$185.39
RMD,2021-03-09,$182.26
